"Name","Poverty by Poverty Level"
"Description","Poverty level is the ratio of household income to the Federal Poverty Level (FPL).&nbsp;The FPL varies based on the number of children and adults in a household and the age of the head of household. In 2018, <a href=""https://familiesusa.org/resources/federal-poverty-guidelines/"" target=""_blank"">the annual income thresholds for a family of four</a> would correspond to the following breakdown of poverty levels:<br />
Below 100% FPL = Below $25,100&nbsp;<br />
100 to 199% FPL = $25,100 to $50,199<br />
Below 200% FPL = Below $50,200<br />
200 to 399% FPL = $50,200 to $100,399<br />
400% FPL and above = $100,400 and above"
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample Files (2005-2018). Retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the total population for whom poverty status was determined."

Location,Poverty Level,TimeFrame,DataFormat,Data,Fips
Greenwich Village,Below 200% FPL,2006,Number,17414.31697,102
Greenwich Village,200 to 399% FPL,2006,Number,9080.05415,102
Greenwich Village,400% FPL and above,2006,Number,55551.61747,102
Greenwich Village,Below 100% FPL,2007,Number,5931.15742,102
Greenwich Village,100 to 199% FPL,2007,Number,5850.08019,102
Greenwich Village,Below 200% FPL,2007,Number,11781.23761,102
Greenwich Village,200 to 399% FPL,2007,Number,10891.77265,102
Greenwich Village,400% FPL and above,2007,Number,55395.42456,102
Greenwich Village,Below 100% FPL,2008,Number,7411.41312,102
Greenwich Village,100 to 199% FPL,2008,Number,6672.77566,102
Greenwich Village,Below 200% FPL,2008,Number,14084.18878,102
Greenwich Village,200 to 399% FPL,2008,Number,11337.10129,102
Greenwich Village,400% FPL and above,2008,Number,58895.45725,102
Greenwich Village,Below 100% FPL,2009,Number,6496.9096,102
Greenwich Village,100 to 199% FPL,2009,Number,6403.90924,102
Greenwich Village,Below 200% FPL,2009,Number,12900.81884,102
Greenwich Village,200 to 399% FPL,2009,Number,9157.55445,102
Greenwich Village,400% FPL and above,2009,Number,57003.85382,102
Greenwich Village,Below 100% FPL,2010,Number,7433.47089,102
Greenwich Village,100 to 199% FPL,2010,Number,6960.71907,102
Greenwich Village,Below 200% FPL,2010,Number,14394.18997,102
Greenwich Village,200 to 399% FPL,2010,Number,11980.94992,102
Greenwich Village,400% FPL and above,2010,Number,58772.64909,102
Greenwich Village,Below 100% FPL,2011,Number,5501.925,102
Greenwich Village,100 to 199% FPL,2011,Number,5993.15766,102
Greenwich Village,Below 200% FPL,2011,Number,11495.08267,102
Greenwich Village,200 to 399% FPL,2011,Number,8736.66821,102
Greenwich Village,400% FPL and above,2011,Number,62906.99191,102
Greenwich Village,Below 100% FPL,2012,Number,6622.10239,102
Greenwich Village,100 to 199% FPL,2012,Number,3639.53323,102
Greenwich Village,Below 200% FPL,2012,Number,10261.63561,102
Greenwich Village,200 to 399% FPL,2012,Number,13454.05174,102
Greenwich Village,400% FPL and above,2012,Number,59477.30564,102
Greenwich Village,Below 100% FPL,2013,Number,8061.81946,102
Greenwich Village,100 to 199% FPL,2013,Number,4541.51746,102
Greenwich Village,Below 200% FPL,2013,Number,12603.33693,102
Greenwich Village,200 to 399% FPL,2013,Number,8991.82304,102
Greenwich Village,400% FPL and above,2013,Number,69079.59257,102
Greenwich Village,Below 100% FPL,2014,Number,6101.06192,102
Greenwich Village,100 to 199% FPL,2014,Number,8051.08865,102
Greenwich Village,Below 200% FPL,2014,Number,14152.15058,102
Greenwich Village,200 to 399% FPL,2014,Number,8300.87807,102
Greenwich Village,400% FPL and above,2014,Number,68635.45624,102
Greenwich Village,Below 100% FPL,2015,Number,7015.56544,102
Greenwich Village,100 to 199% FPL,2015,Number,4165.9391,102
Greenwich Village,Below 200% FPL,2015,Number,11181.50454,102
Greenwich Village,200 to 399% FPL,2015,Number,10502.48269,102
Greenwich Village,400% FPL and above,2015,Number,65582.54066,102
Greenwich Village,Below 100% FPL,2016,Number,7205.73925,102
Greenwich Village,100 to 199% FPL,2016,Number,4053.26559,102
Greenwich Village,Below 200% FPL,2016,Number,11259.00483,102
Greenwich Village,200 to 399% FPL,2016,Number,10207.38541,102
Greenwich Village,400% FPL and above,2016,Number,65362.55904,102
Greenwich Village,Below 100% FPL,2017,Number,7366.10525,102
Greenwich Village,100 to 199% FPL,2017,Number,5660.50254,102
Greenwich Village,Below 200% FPL,2017,Number,13026.60779,102
Greenwich Village,200 to 399% FPL,2017,Number,7173.54682,102
Greenwich Village,400% FPL and above,2017,Number,64731.82585,102
Greenwich Village,Below 100% FPL,2018,Number,5242.00093,102
Greenwich Village,100 to 199% FPL,2018,Number,4837.21091,102
Greenwich Village,Below 200% FPL,2018,Number,10079.21184,102
