"Name","Poverty by Poverty Level"
"Description","Poverty level is the ratio of household income to the Federal Poverty Level (FPL).&nbsp;The FPL varies based on the number of children and adults in a household and the age of the head of household. In 2018, <a href=""https://familiesusa.org/resources/federal-poverty-guidelines/"" target=""_blank"">the annual income thresholds for a family of four</a> would correspond to the following breakdown of poverty levels:<br />
Below 100% FPL = Below $25,100&nbsp;<br />
100 to 199% FPL = $25,100 to $50,199<br />
Below 200% FPL = Below $50,200<br />
200 to 399% FPL = $50,200 to $100,399<br />
400% FPL and above = $100,400 and above"
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample Files (2005-2018). Retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the total population for whom poverty status was determined."

Location,Poverty Level,TimeFrame,DataFormat,Data,Fips
Crown Heights North,Below 200% FPL,2017,Number,50640,308
Crown Heights North,200 to 399% FPL,2017,Number,35433,308
Crown Heights North,400% FPL and above,2017,Number,54373,308
Crown Heights North,Below 100% FPL,2018,Number,24756,308
Crown Heights North,100 to 199% FPL,2018,Number,24669,308
Crown Heights North,Below 200% FPL,2018,Number,49425,308
Crown Heights North,200 to 399% FPL,2018,Number,31352,308
Crown Heights North,400% FPL and above,2018,Number,54416,308
Crown Heights South,Below 100% FPL,2005,Number,21920,309
Crown Heights South,100 to 199% FPL,2005,Number,26090,309
Crown Heights South,Below 200% FPL,2005,Number,48010,309
Crown Heights South,200 to 399% FPL,2005,Number,36564,309
Crown Heights South,400% FPL and above,2005,Number,27337,309
Crown Heights South,Below 100% FPL,2006,Number,25013,309
Crown Heights South,100 to 199% FPL,2006,Number,24545,309
Crown Heights South,Below 200% FPL,2006,Number,49558,309
Crown Heights South,200 to 399% FPL,2006,Number,35058,309
Crown Heights South,400% FPL and above,2006,Number,24595,309
Crown Heights South,Below 100% FPL,2007,Number,21602,309
Crown Heights South,100 to 199% FPL,2007,Number,20150,309
Crown Heights South,Below 200% FPL,2007,Number,41752,309
Crown Heights South,200 to 399% FPL,2007,Number,40917,309
Crown Heights South,400% FPL and above,2007,Number,28121,309
Crown Heights South,Below 100% FPL,2008,Number,22747,309
Crown Heights South,100 to 199% FPL,2008,Number,26988,309
Crown Heights South,Below 200% FPL,2008,Number,49735,309
Crown Heights South,200 to 399% FPL,2008,Number,32369,309
Crown Heights South,400% FPL and above,2008,Number,29136,309
Crown Heights South,Below 100% FPL,2009,Number,21579,309
Crown Heights South,100 to 199% FPL,2009,Number,25732,309
Crown Heights South,Below 200% FPL,2009,Number,47311,309
Crown Heights South,200 to 399% FPL,2009,Number,32432,309
Crown Heights South,400% FPL and above,2009,Number,28728,309
Crown Heights South,Below 100% FPL,2010,Number,27726,309
Crown Heights South,100 to 199% FPL,2010,Number,21634,309
Crown Heights South,Below 200% FPL,2010,Number,49360,309
Crown Heights South,200 to 399% FPL,2010,Number,35823,309
Crown Heights South,400% FPL and above,2010,Number,20344,309
Crown Heights South,Below 100% FPL,2011,Number,23936,309
Crown Heights South,100 to 199% FPL,2011,Number,32106,309
Crown Heights South,Below 200% FPL,2011,Number,56042,309
Crown Heights South,200 to 399% FPL,2011,Number,35961,309
Crown Heights South,400% FPL and above,2011,Number,20929,309
Crown Heights South,Below 100% FPL,2012,Number,27266,309
Crown Heights South,100 to 199% FPL,2012,Number,29999,309
Crown Heights South,Below 200% FPL,2012,Number,57265,309
Crown Heights South,200 to 399% FPL,2012,Number,33150,309
Crown Heights South,400% FPL and above,2012,Number,22324,309
Crown Heights South,Below 100% FPL,2013,Number,22641,309
Crown Heights South,100 to 199% FPL,2013,Number,17448,309
Crown Heights South,Below 200% FPL,2013,Number,40089,309
Crown Heights South,200 to 399% FPL,2013,Number,32552,309
Crown Heights South,400% FPL and above,2013,Number,29725,309
Crown Heights South,Below 100% FPL,2014,Number,21821,309
Crown Heights South,100 to 199% FPL,2014,Number,27672,309
Crown Heights South,Below 200% FPL,2014,Number,49493,309
Crown Heights South,200 to 399% FPL,2014,Number,38127,309
Crown Heights South,400% FPL and above,2014,Number,19871,309
Crown Heights South,Below 100% FPL,2015,Number,24108,309
Crown Heights South,100 to 199% FPL,2015,Number,23703,309
Crown Heights South,Below 200% FPL,2015,Number,47811,309
Crown Heights South,200 to 399% FPL,2015,Number,39649,309
Crown Heights South,400% FPL and above,2015,Number,25885,309
Crown Heights South,Below 100% FPL,2016,Number,16723,309
Crown Heights South,100 to 199% FPL,2016,Number,24970,309
Crown Heights South,Below 200% FPL,2016,Number,41693,309
Crown Heights South,200 to 399% FPL,2016,Number,36825,309
Crown Heights South,400% FPL and above,2016,Number,30428,309
Crown Heights South,Below 100% FPL,2017,Number,22457,309
Crown Heights South,100 to 199% FPL,2017,Number,18039,309
Crown Heights South,Below 200% FPL,2017,Number,40496,309
Crown Heights South,200 to 399% FPL,2017,Number,26822,309
Crown Heights South,400% FPL and above,2017,Number,43751,309
Crown Heights South,Below 100% FPL,2018,Number,19414,309
Crown Heights South,100 to 199% FPL,2018,Number,19812,309
Crown Heights South,Below 200% FPL,2018,Number,39226,309
Crown Heights South,200 to 399% FPL,2018,Number,32886,309
Crown Heights South,400% FPL and above,2018,Number,37885,309
Bay Ridge,Below 100% FPL,2005,Number,21110,310
Bay Ridge,100 to 199% FPL,2005,Number,18837,310
Bay Ridge,Below 200% FPL,2005,Number,39947,310
Bay Ridge,200 to 399% FPL,2005,Number,34206,310
Bay Ridge,400% FPL and above,2005,Number,49914,310
Bay Ridge,Below 100% FPL,2006,Number,15489,310
Bay Ridge,100 to 199% FPL,2006,Number,19995,310
Bay Ridge,Below 200% FPL,2006,Number,35484,310
Bay Ridge,200 to 399% FPL,2006,Number,32939,310
Bay Ridge,400% FPL and above,2006,Number,54700,310
Bay Ridge,Below 100% FPL,2007,Number,19230,310
Bay Ridge,100 to 199% FPL,2007,Number,24082,310
Bay Ridge,Below 200% FPL,2007,Number,43312,310
Bay Ridge,200 to 399% FPL,2007,Number,30794,310
Bay Ridge,400% FPL and above,2007,Number,52085,310
Bay Ridge,Below 100% FPL,2008,Number,13446,310
Bay Ridge,100 to 199% FPL,2008,Number,22337,310
Bay Ridge,Below 200% FPL,2008,Number,35783,310
Bay Ridge,200 to 399% FPL,2008,Number,34205,310
Bay Ridge,400% FPL and above,2008,Number,50959,310
Bay Ridge,Below 100% FPL,2009,Number,21390,310
Bay Ridge,100 to 199% FPL,2009,Number,21916,310
Bay Ridge,Below 200% FPL,2009,Number,43306,310
Bay Ridge,200 to 399% FPL,2009,Number,34529,310
Bay Ridge,400% FPL and above,2009,Number,50746,310
Bay Ridge,Below 100% FPL,2010,Number,20367,310
Bay Ridge,100 to 199% FPL,2010,Number,31888,310
Bay Ridge,Below 200% FPL,2010,Number,52255,310
Bay Ridge,200 to 399% FPL,2010,Number,38987,310
Bay Ridge,400% FPL and above,2010,Number,45959,310
Bay Ridge,Below 100% FPL,2011,Number,17601,310
Bay Ridge,100 to 199% FPL,2011,Number,27254,310
Bay Ridge,Below 200% FPL,2011,Number,44855,310
Bay Ridge,200 to 399% FPL,2011,Number,37884,310
Bay Ridge,400% FPL and above,2011,Number,49760,310
Bay Ridge,Below 100% FPL,2012,Number,18146,310
Bay Ridge,100 to 199% FPL,2012,Number,27343,310
Bay Ridge,Below 200% FPL,2012,Number,45489,310
Bay Ridge,200 to 399% FPL,2012,Number,34405,310
Bay Ridge,400% FPL and above,2012,Number,47279,310
Bay Ridge,Below 100% FPL,2013,Number,22171,310
Bay Ridge,100 to 199% FPL,2013,Number,25442,310
Bay Ridge,Below 200% FPL,2013,Number,47613,310
Bay Ridge,200 to 399% FPL,2013,Number,29871,310
Bay Ridge,400% FPL and above,2013,Number,49808,310
Bay Ridge,Below 100% FPL,2014,Number,24751,310
Bay Ridge,100 to 199% FPL,2014,Number,22427,310
Bay Ridge,Below 200% FPL,2014,Number,47178,310
Bay Ridge,200 to 399% FPL,2014,Number,25311,310
Bay Ridge,400% FPL and above,2014,Number,55846,310
Bay Ridge,Below 100% FPL,2015,Number,17572,310
Bay Ridge,100 to 199% FPL,2015,Number,21930,310
Bay Ridge,Below 200% FPL,2015,Number,39502,310
Bay Ridge,200 to 399% FPL,2015,Number,27979,310
Bay Ridge,400% FPL and above,2015,Number,54465,310
Bay Ridge,Below 100% FPL,2016,Number,18469,310
Bay Ridge,100 to 199% FPL,2016,Number,22857,310
Bay Ridge,Below 200% FPL,2016,Number,41326,310
Bay Ridge,200 to 399% FPL,2016,Number,27049,310
Bay Ridge,400% FPL and above,2016,Number,50046,310
Bay Ridge,Below 100% FPL,2017,Number,16107,310
Bay Ridge,100 to 199% FPL,2017,Number,18977,310
Bay Ridge,Below 200% FPL,2017,Number,35084,310
Bay Ridge,200 to 399% FPL,2017,Number,33000,310
Bay Ridge,400% FPL and above,2017,Number,54846,310
Bay Ridge,Below 100% FPL,2018,Number,20302,310
Bay Ridge,100 to 199% FPL,2018,Number,18160,310
Bay Ridge,Below 200% FPL,2018,Number,38462,310
Bay Ridge,200 to 399% FPL,2018,Number,28994,310
Bay Ridge,400% FPL and above,2018,Number,56666,310
Bensonhurst,Below 100% FPL,2005,Number,42090,311
Bensonhurst,100 to 199% FPL,2005,Number,32850,311
Bensonhurst,Below 200% FPL,2005,Number,74940,311
Bensonhurst,200 to 399% FPL,2005,Number,57192,311
Bensonhurst,400% FPL and above,2005,Number,45266,311
Bensonhurst,Below 100% FPL,2006,Number,28544,311
Bensonhurst,100 to 199% FPL,2006,Number,40253,311
Bensonhurst,Below 200% FPL,2006,Number,68797,311
Bensonhurst,200 to 399% FPL,2006,Number,53185,311
Bensonhurst,400% FPL and above,2006,Number,51363,311
Bensonhurst,Below 100% FPL,2007,Number,23816,311
Bensonhurst,100 to 199% FPL,2007,Number,39846,311
Bensonhurst,Below 200% FPL,2007,Number,63662,311
Bensonhurst,200 to 399% FPL,2007,Number,62729,311
Bensonhurst,400% FPL and above,2007,Number,57913,311
Bensonhurst,Below 100% FPL,2008,Number,29787,311
Bensonhurst,100 to 199% FPL,2008,Number,45824,311
Bensonhurst,Below 200% FPL,2008,Number,75611,311
Bensonhurst,200 to 399% FPL,2008,Number,59386,311
Bensonhurst,400% FPL and above,2008,Number,47471,311
Bensonhurst,Below 100% FPL,2009,Number,19109,311
Bensonhurst,100 to 199% FPL,2009,Number,44973,311
Bensonhurst,Below 200% FPL,2009,Number,64082,311
Bensonhurst,200 to 399% FPL,2009,Number,54793,311
Bensonhurst,400% FPL and above,2009,Number,43902,311
Bensonhurst,Below 100% FPL,2010,Number,24084,311
Bensonhurst,100 to 199% FPL,2010,Number,43994,311
Bensonhurst,Below 200% FPL,2010,Number,68078,311
Bensonhurst,200 to 399% FPL,2010,Number,50562,311
Bensonhurst,400% FPL and above,2010,Number,45109,311
Bensonhurst,Below 100% FPL,2011,Number,30225,311
Bensonhurst,100 to 199% FPL,2011,Number,44124,311
Bensonhurst,Below 200% FPL,2011,Number,74349,311
Bensonhurst,200 to 399% FPL,2011,Number,55049,311
Bensonhurst,400% FPL and above,2011,Number,51106,311
Bensonhurst,Below 100% FPL,2012,Number,41961,311
Bensonhurst,100 to 199% FPL,2012,Number,34667,311
Bensonhurst,Below 200% FPL,2012,Number,76628,311
Bensonhurst,200 to 399% FPL,2012,Number,59714,311
Bensonhurst,400% FPL and above,2012,Number,52923,311
Bensonhurst,Below 100% FPL,2013,Number,28684,311
Bensonhurst,100 to 199% FPL,2013,Number,43561,311
Bensonhurst,Below 200% FPL,2013,Number,72245,311
Bensonhurst,200 to 399% FPL,2013,Number,61737,311
Bensonhurst,400% FPL and above,2013,Number,50550,311
Bensonhurst,Below 100% FPL,2014,Number,37160,311
Bensonhurst,100 to 199% FPL,2014,Number,43576,311
Bensonhurst,Below 200% FPL,2014,Number,80736,311
Bensonhurst,200 to 399% FPL,2014,Number,58196,311
Bensonhurst,400% FPL and above,2014,Number,48203,311
Bensonhurst,Below 100% FPL,2015,Number,38827,311
Bensonhurst,100 to 199% FPL,2015,Number,43391,311
Bensonhurst,Below 200% FPL,2015,Number,82218,311
Bensonhurst,200 to 399% FPL,2015,Number,48245,311
Bensonhurst,400% FPL and above,2015,Number,56666,311
Bensonhurst,Below 100% FPL,2016,Number,26383,311
Bensonhurst,100 to 199% FPL,2016,Number,49134,311
Bensonhurst,Below 200% FPL,2016,Number,75517,311
Bensonhurst,200 to 399% FPL,2016,Number,51339,311
Bensonhurst,400% FPL and above,2016,Number,61594,311
Bensonhurst,Below 100% FPL,2017,Number,33140,311
Bensonhurst,100 to 199% FPL,2017,Number,46607,311
Bensonhurst,Below 200% FPL,2017,Number,79747,311
Bensonhurst,200 to 399% FPL,2017,Number,59446,311
Bensonhurst,400% FPL and above,2017,Number,65420,311
Bensonhurst,Below 100% FPL,2018,Number,35228,311
Bensonhurst,100 to 199% FPL,2018,Number,37859,311
Bensonhurst,Below 200% FPL,2018,Number,73087,311
Bensonhurst,200 to 399% FPL,2018,Number,52578,311
Bensonhurst,400% FPL and above,2018,Number,59481,311
Borough Park,Below 100% FPL,2005,Number,45872,312
Borough Park,100 to 199% FPL,2005,Number,31540,312
Borough Park,Below 200% FPL,2005,Number,77412,312
Borough Park,200 to 399% FPL,2005,Number,40492,312
Borough Park,400% FPL and above,2005,Number,28486,312
Borough Park,Below 100% FPL,2006,Number,37686,312
Borough Park,100 to 199% FPL,2006,Number,40125,312
Borough Park,Below 200% FPL,2006,Number,77811,312
Borough Park,200 to 399% FPL,2006,Number,49498,312
Borough Park,400% FPL and above,2006,Number,27406,312
Borough Park,Below 100% FPL,2007,Number,48178,312
Borough Park,100 to 199% FPL,2007,Number,50272,312
Borough Park,Below 200% FPL,2007,Number,98450,312
Borough Park,200 to 399% FPL,2007,Number,42796,312
Borough Park,400% FPL and above,2007,Number,34381,312
Borough Park,Below 100% FPL,2008,Number,42964,312
Borough Park,100 to 199% FPL,2008,Number,38396,312
Borough Park,Below 200% FPL,2008,Number,81360,312
Borough Park,200 to 399% FPL,2008,Number,51345,312
Borough Park,400% FPL and above,2008,Number,36567,312
Borough Park,Below 100% FPL,2009,Number,43590,312
Borough Park,100 to 199% FPL,2009,Number,42139,312
Borough Park,Below 200% FPL,2009,Number,85729,312
Borough Park,200 to 399% FPL,2009,Number,42157,312
Borough Park,400% FPL and above,2009,Number,34797,312
Borough Park,Below 100% FPL,2010,Number,56835,312
Borough Park,100 to 199% FPL,2010,Number,39285,312
Borough Park,Below 200% FPL,2010,Number,96120,312
Borough Park,200 to 399% FPL,2010,Number,43099,312
Borough Park,400% FPL and above,2010,Number,28737,312
Borough Park,Below 100% FPL,2011,Number,48784,312
Borough Park,100 to 199% FPL,2011,Number,45855,312
Borough Park,Below 200% FPL,2011,Number,94639,312
Borough Park,200 to 399% FPL,2011,Number,38922,312
Borough Park,400% FPL and above,2011,Number,27852,312
Borough Park,Below 100% FPL,2012,Number,55361,312
Borough Park,100 to 199% FPL,2012,Number,38107,312
Borough Park,Below 200% FPL,2012,Number,93468,312
Borough Park,200 to 399% FPL,2012,Number,33282,312
Borough Park,400% FPL and above,2012,Number,34885,312
Borough Park,Below 100% FPL,2013,Number,55602,312
Borough Park,100 to 199% FPL,2013,Number,43622,312
Borough Park,Below 200% FPL,2013,Number,99224,312
Borough Park,200 to 399% FPL,2013,Number,30083,312
Borough Park,400% FPL and above,2013,Number,31020,312
Borough Park,Below 100% FPL,2014,Number,54889,312
Borough Park,100 to 199% FPL,2014,Number,39218,312
Borough Park,Below 200% FPL,2014,Number,94107,312
Borough Park,200 to 399% FPL,2014,Number,42742,312
Borough Park,400% FPL and above,2014,Number,32819,312
Borough Park,Below 100% FPL,2015,Number,46446,312
Borough Park,100 to 199% FPL,2015,Number,42345,312
Borough Park,Below 200% FPL,2015,Number,88791,312
Borough Park,200 to 399% FPL,2015,Number,36367,312
Borough Park,400% FPL and above,2015,Number,36025,312
Borough Park,Below 100% FPL,2016,Number,47351,312
Borough Park,100 to 199% FPL,2016,Number,32774,312
Borough Park,Below 200% FPL,2016,Number,80125,312
Borough Park,200 to 399% FPL,2016,Number,35255,312
Borough Park,400% FPL and above,2016,Number,34231,312
Borough Park,Below 100% FPL,2017,Number,42176,312
Borough Park,100 to 199% FPL,2017,Number,35989,312
Borough Park,Below 200% FPL,2017,Number,78165,312
Borough Park,200 to 399% FPL,2017,Number,32906,312
Borough Park,400% FPL and above,2017,Number,34044,312
Borough Park,Below 100% FPL,2018,Number,37043,312
Borough Park,100 to 199% FPL,2018,Number,39193,312
Borough Park,Below 200% FPL,2018,Number,76236,312
Borough Park,200 to 399% FPL,2018,Number,26492,312
Borough Park,400% FPL and above,2018,Number,34374,312
Coney Island,Below 100% FPL,2005,Number,28167,313
Coney Island,100 to 199% FPL,2005,Number,20929,313
Coney Island,Below 200% FPL,2005,Number,49096,313
Coney Island,200 to 399% FPL,2005,Number,30346,313
Coney Island,400% FPL and above,2005,Number,26675,313
Coney Island,Below 100% FPL,2006,Number,23079,313
Coney Island,100 to 199% FPL,2006,Number,24327,313
Coney Island,Below 200% FPL,2006,Number,47406,313
Coney Island,200 to 399% FPL,2006,Number,23617,313
Coney Island,400% FPL and above,2006,Number,31095,313
Coney Island,Below 100% FPL,2007,Number,25457,313
Coney Island,100 to 199% FPL,2007,Number,21917,313
Coney Island,Below 200% FPL,2007,Number,47374,313
Coney Island,200 to 399% FPL,2007,Number,27745,313
Coney Island,400% FPL and above,2007,Number,31752,313
Coney Island,Below 100% FPL,2008,Number,19744,313
Coney Island,100 to 199% FPL,2008,Number,23834,313
Coney Island,Below 200% FPL,2008,Number,43578,313
Coney Island,200 to 399% FPL,2008,Number,39156,313
Coney Island,400% FPL and above,2008,Number,22281,313
Coney Island,Below 100% FPL,2009,Number,19934,313
Coney Island,100 to 199% FPL,2009,Number,25006,313
Coney Island,Below 200% FPL,2009,Number,44940,313
Coney Island,200 to 399% FPL,2009,Number,36396,313
Coney Island,400% FPL and above,2009,Number,29594,313
Coney Island,Below 100% FPL,2010,Number,25847,313
Coney Island,100 to 199% FPL,2010,Number,25443,313
Coney Island,Below 200% FPL,2010,Number,51290,313
Coney Island,200 to 399% FPL,2010,Number,29715,313
Coney Island,400% FPL and above,2010,Number,21664,313
Coney Island,Below 100% FPL,2011,Number,27429,313
Coney Island,100 to 199% FPL,2011,Number,24734,313
Coney Island,Below 200% FPL,2011,Number,52163,313
Coney Island,200 to 399% FPL,2011,Number,22887,313
Coney Island,400% FPL and above,2011,Number,26495,313
Coney Island,Below 100% FPL,2012,Number,27736,313
Coney Island,100 to 199% FPL,2012,Number,20324,313
Coney Island,Below 200% FPL,2012,Number,48060,313
Coney Island,200 to 399% FPL,2012,Number,23196,313
Coney Island,400% FPL and above,2012,Number,28507,313
Coney Island,Below 100% FPL,2013,Number,25465,313
Coney Island,100 to 199% FPL,2013,Number,25570,313
Coney Island,Below 200% FPL,2013,Number,51035,313
Coney Island,200 to 399% FPL,2013,Number,22346,313
Coney Island,400% FPL and above,2013,Number,32136,313
Coney Island,Below 100% FPL,2014,Number,36323,313
Coney Island,100 to 199% FPL,2014,Number,21414,313
Coney Island,Below 200% FPL,2014,Number,57737,313
Coney Island,200 to 399% FPL,2014,Number,28952,313
Coney Island,400% FPL and above,2014,Number,23095,313
Coney Island,Below 100% FPL,2015,Number,23393,313
Coney Island,100 to 199% FPL,2015,Number,33377,313
Coney Island,Below 200% FPL,2015,Number,56770,313
Coney Island,200 to 399% FPL,2015,Number,34696,313
Coney Island,400% FPL and above,2015,Number,30268,313
Coney Island,Below 100% FPL,2016,Number,28866,313
Coney Island,100 to 199% FPL,2016,Number,27538,313
Coney Island,Below 200% FPL,2016,Number,56404,313
Coney Island,200 to 399% FPL,2016,Number,21795,313
Coney Island,400% FPL and above,2016,Number,37142,313
Coney Island,Below 100% FPL,2017,Number,31562,313
Coney Island,100 to 199% FPL,2017,Number,28197,313
Coney Island,Below 200% FPL,2017,Number,59759,313
Coney Island,200 to 399% FPL,2017,Number,32245,313
Coney Island,400% FPL and above,2017,Number,28523,313
Coney Island,Below 100% FPL,2018,Number,33116,313
Coney Island,100 to 199% FPL,2018,Number,25016,313
Coney Island,Below 200% FPL,2018,Number,58132,313
Coney Island,200 to 399% FPL,2018,Number,22649,313
Coney Island,400% FPL and above,2018,Number,31438,313
Flatbush/Midwood,Below 100% FPL,2005,Number,33794,314
Flatbush/Midwood,100 to 199% FPL,2005,Number,31690,314
Flatbush/Midwood,Below 200% FPL,2005,Number,65484,314
Flatbush/Midwood,200 to 399% FPL,2005,Number,46869,314
Flatbush/Midwood,400% FPL and above,2005,Number,39820,314
Flatbush/Midwood,Below 100% FPL,2006,Number,26424,314
Flatbush/Midwood,100 to 199% FPL,2006,Number,39958,314
Flatbush/Midwood,Below 200% FPL,2006,Number,66382,314
Flatbush/Midwood,200 to 399% FPL,2006,Number,51994,314
Flatbush/Midwood,400% FPL and above,2006,Number,43937,314
Flatbush/Midwood,Below 100% FPL,2007,Number,29422,314
Flatbush/Midwood,100 to 199% FPL,2007,Number,36287,314
Flatbush/Midwood,Below 200% FPL,2007,Number,65709,314
Flatbush/Midwood,200 to 399% FPL,2007,Number,47815,314
Flatbush/Midwood,400% FPL and above,2007,Number,45321,314
Flatbush/Midwood,Below 100% FPL,2008,Number,31874,314
Flatbush/Midwood,100 to 199% FPL,2008,Number,38444,314
Flatbush/Midwood,Below 200% FPL,2008,Number,70318,314
Flatbush/Midwood,200 to 399% FPL,2008,Number,47114,314
Flatbush/Midwood,400% FPL and above,2008,Number,53986,314
Flatbush/Midwood,Below 100% FPL,2009,Number,39642,314
Flatbush/Midwood,100 to 199% FPL,2009,Number,30575,314
Flatbush/Midwood,Below 200% FPL,2009,Number,70217,314
Flatbush/Midwood,200 to 399% FPL,2009,Number,44457,314
Flatbush/Midwood,400% FPL and above,2009,Number,47239,314
Flatbush/Midwood,Below 100% FPL,2010,Number,37587,314
Flatbush/Midwood,100 to 199% FPL,2010,Number,36851,314
Flatbush/Midwood,Below 200% FPL,2010,Number,74438,314
Flatbush/Midwood,200 to 399% FPL,2010,Number,47489,314
Flatbush/Midwood,400% FPL and above,2010,Number,39895,314
Flatbush/Midwood,Below 100% FPL,2011,Number,36005,314
Flatbush/Midwood,100 to 199% FPL,2011,Number,39624,314
Flatbush/Midwood,Below 200% FPL,2011,Number,75629,314
Flatbush/Midwood,200 to 399% FPL,2011,Number,43553,314
Flatbush/Midwood,400% FPL and above,2011,Number,42912,314
Flatbush/Midwood,Below 100% FPL,2012,Number,29132,314
Flatbush/Midwood,100 to 199% FPL,2012,Number,38870,314
Flatbush/Midwood,Below 200% FPL,2012,Number,68002,314
Flatbush/Midwood,200 to 399% FPL,2012,Number,44979,314
Flatbush/Midwood,400% FPL and above,2012,Number,34201,314
Flatbush/Midwood,Below 100% FPL,2013,Number,37268,314
Flatbush/Midwood,100 to 199% FPL,2013,Number,36515,314
Flatbush/Midwood,Below 200% FPL,2013,Number,73783,314
Flatbush/Midwood,200 to 399% FPL,2013,Number,42909,314
Flatbush/Midwood,400% FPL and above,2013,Number,39909,314
Flatbush/Midwood,Below 100% FPL,2014,Number,40558,314
Flatbush/Midwood,100 to 199% FPL,2014,Number,34361,314
Flatbush/Midwood,Below 200% FPL,2014,Number,74919,314
Flatbush/Midwood,200 to 399% FPL,2014,Number,46979,314
Flatbush/Midwood,400% FPL and above,2014,Number,57956,314
Flatbush/Midwood,Below 100% FPL,2015,Number,34482,314
Flatbush/Midwood,100 to 199% FPL,2015,Number,37278,314
Flatbush/Midwood,Below 200% FPL,2015,Number,71760,314
Flatbush/Midwood,200 to 399% FPL,2015,Number,46631,314
Flatbush/Midwood,400% FPL and above,2015,Number,44015,314
Flatbush/Midwood,Below 100% FPL,2016,Number,30059,314
Flatbush/Midwood,100 to 199% FPL,2016,Number,45430,314
Flatbush/Midwood,Below 200% FPL,2016,Number,75489,314
Flatbush/Midwood,200 to 399% FPL,2016,Number,44593,314
Flatbush/Midwood,400% FPL and above,2016,Number,42779,314
Flatbush/Midwood,Below 100% FPL,2017,Number,25823,314
Flatbush/Midwood,100 to 199% FPL,2017,Number,31217,314
Flatbush/Midwood,Below 200% FPL,2017,Number,57040,314
Flatbush/Midwood,200 to 399% FPL,2017,Number,44043,314
Flatbush/Midwood,400% FPL and above,2017,Number,48813,314
Flatbush/Midwood,Below 100% FPL,2018,Number,26106,314
Flatbush/Midwood,100 to 199% FPL,2018,Number,29428,314
Flatbush/Midwood,Below 200% FPL,2018,Number,55534,314
Flatbush/Midwood,200 to 399% FPL,2018,Number,40408,314
Flatbush/Midwood,400% FPL and above,2018,Number,57864,314
Sheepshead Bay,Below 100% FPL,2005,Number,23141,315
Sheepshead Bay,100 to 199% FPL,2005,Number,36117,315
Sheepshead Bay,Below 200% FPL,2005,Number,59258,315
Sheepshead Bay,200 to 399% FPL,2005,Number,34347,315
Sheepshead Bay,400% FPL and above,2005,Number,53175,315
Sheepshead Bay,Below 100% FPL,2006,Number,23892,315
Sheepshead Bay,100 to 199% FPL,2006,Number,28360,315
Sheepshead Bay,Below 200% FPL,2006,Number,52252,315
Sheepshead Bay,200 to 399% FPL,2006,Number,39566,315
Sheepshead Bay,400% FPL and above,2006,Number,56879,315
Sheepshead Bay,Below 100% FPL,2007,Number,22453,315
Sheepshead Bay,100 to 199% FPL,2007,Number,25363,315
Sheepshead Bay,Below 200% FPL,2007,Number,47816,315
Sheepshead Bay,200 to 399% FPL,2007,Number,35316,315
Sheepshead Bay,400% FPL and above,2007,Number,53635,315
Sheepshead Bay,Below 100% FPL,2008,Number,17109,315
Sheepshead Bay,100 to 199% FPL,2008,Number,28082,315
Sheepshead Bay,Below 200% FPL,2008,Number,45191,315
Sheepshead Bay,200 to 399% FPL,2008,Number,48616,315
Sheepshead Bay,400% FPL and above,2008,Number,49971,315
Sheepshead Bay,Below 100% FPL,2009,Number,15958,315
Sheepshead Bay,100 to 199% FPL,2009,Number,37304,315
Sheepshead Bay,Below 200% FPL,2009,Number,53262,315
Sheepshead Bay,200 to 399% FPL,2009,Number,41217,315
Sheepshead Bay,400% FPL and above,2009,Number,54430,315
Sheepshead Bay,Below 100% FPL,2010,Number,20546,315
Sheepshead Bay,100 to 199% FPL,2010,Number,22897,315
Sheepshead Bay,Below 200% FPL,2010,Number,43443,315
Sheepshead Bay,200 to 399% FPL,2010,Number,36000,315
Sheepshead Bay,400% FPL and above,2010,Number,53700,315
Sheepshead Bay,Below 100% FPL,2011,Number,20937,315
Sheepshead Bay,100 to 199% FPL,2011,Number,35435,315
Sheepshead Bay,Below 200% FPL,2011,Number,56372,315
Sheepshead Bay,200 to 399% FPL,2011,Number,43051,315
Sheepshead Bay,400% FPL and above,2011,Number,43200,315
Sheepshead Bay,Below 100% FPL,2012,Number,30004,315
Sheepshead Bay,100 to 199% FPL,2012,Number,28474,315
Sheepshead Bay,Below 200% FPL,2012,Number,58478,315
Sheepshead Bay,200 to 399% FPL,2012,Number,37917,315
Sheepshead Bay,400% FPL and above,2012,Number,56573,315
Sheepshead Bay,Below 100% FPL,2013,Number,25191,315
Sheepshead Bay,100 to 199% FPL,2013,Number,34936,315
Sheepshead Bay,Below 200% FPL,2013,Number,60127,315
Sheepshead Bay,200 to 399% FPL,2013,Number,38449,315
Sheepshead Bay,400% FPL and above,2013,Number,57525,315
Sheepshead Bay,Below 100% FPL,2014,Number,25548,315
Sheepshead Bay,100 to 199% FPL,2014,Number,26616,315
Sheepshead Bay,Below 200% FPL,2014,Number,52164,315
Sheepshead Bay,200 to 399% FPL,2014,Number,37826,315
