"Name","Family Income"
"Description","Families by income level."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Summary Table B19101 (2005-2018); retrieved from https://data.census.gov/.&nbsp;"
"Notes",""

Location,Income Level,TimeFrame,DataFormat,Data,Fips
Murray Hill/Stuyvesant,"$35,000 to $49,999",2016,Number,908,106
Murray Hill/Stuyvesant,"$75,000 to $99,999",2016,Number,1369,106
Murray Hill/Stuyvesant,"$50,000 to $74,999",2016,Number,1892,106
Murray Hill/Stuyvesant,"$100,000 to $199,999",2016,Number,6535,106
Murray Hill/Stuyvesant,"$200,000 or more",2016,Number,10965,106
Upper West Side,"$25,000 to $34,999",2016,Percent,0.022,107
Upper West Side,"$15,000 to $24,999",2016,Percent,0.026,107
Upper West Side,"$35,000 to $49,999",2016,Percent,0.039,107
Upper West Side,"$75,000 to $99,999",2016,Percent,0.047,107
Upper West Side,"Under $15,000",2016,Percent,0.063,107
Upper West Side,"$50,000 to $74,999",2016,Percent,0.08,107
Upper West Side,"$100,000 to $199,999",2016,Percent,0.264,107
Upper West Side,"$200,000 or more",2016,Percent,0.461,107
Upper West Side,"$25,000 to $34,999",2016,Number,931,107
Upper West Side,"$15,000 to $24,999",2016,Number,1105,107
Upper West Side,"$35,000 to $49,999",2016,Number,1656,107
Upper West Side,"$75,000 to $99,999",2016,Number,1977,107
Upper West Side,"Under $15,000",2016,Number,2665,107
Upper West Side,"$50,000 to $74,999",2016,Number,3389,107
Upper West Side,"$100,000 to $199,999",2016,Number,11207,107
Upper West Side,"$200,000 or more",2016,Number,19580,107
Upper East Side,"Under $15,000",2016,Percent,0.017,108
Upper East Side,"$15,000 to $24,999",2016,Percent,0.022,108
Upper East Side,"$25,000 to $34,999",2016,Percent,0.024,108
Upper East Side,"$35,000 to $49,999",2016,Percent,0.027,108
Upper East Side,"$50,000 to $74,999",2016,Percent,0.059,108
Upper East Side,"$75,000 to $99,999",2016,Percent,0.091,108
Upper East Side,"$100,000 to $199,999",2016,Percent,0.229,108
Upper East Side,"$200,000 or more",2016,Percent,0.53,108
Upper East Side,"Under $15,000",2016,Number,783,108
Upper East Side,"$15,000 to $24,999",2016,Number,1060,108
Upper East Side,"$25,000 to $34,999",2016,Number,1111,108
Upper East Side,"$35,000 to $49,999",2016,Number,1280,108
Upper East Side,"$50,000 to $74,999",2016,Number,2795,108
Upper East Side,"$75,000 to $99,999",2016,Number,4298,108
Upper East Side,"$100,000 to $199,999",2016,Number,10813,108
Upper East Side,"$200,000 or more",2016,Number,24984,108
Manhattanville,"$75,000 to $99,999",2016,Percent,0.085,109
Manhattanville,"$15,000 to $24,999",2016,Percent,0.095,109
Manhattanville,"$35,000 to $49,999",2016,Percent,0.117,109
Manhattanville,"Under $15,000",2016,Percent,0.127,109
Manhattanville,"$50,000 to $74,999",2016,Percent,0.127,109
Manhattanville,"$25,000 to $34,999",2016,Percent,0.139,109
Manhattanville,"$100,000 to $199,999",2016,Percent,0.149,109
Manhattanville,"$200,000 or more",2016,Percent,0.16,109
Manhattanville,"$75,000 to $99,999",2016,Number,1793,109
Manhattanville,"$15,000 to $24,999",2016,Number,2007,109
Manhattanville,"$35,000 to $49,999",2016,Number,2483,109
Manhattanville,"$50,000 to $74,999",2016,Number,2696,109
Manhattanville,"Under $15,000",2016,Number,2698,109
Manhattanville,"$25,000 to $34,999",2016,Number,2931,109
Manhattanville,"$100,000 to $199,999",2016,Number,3163,109
Manhattanville,"$200,000 or more",2016,Number,3390,109
Central Harlem,"$200,000 or more",2016,Percent,0.055,110
Central Harlem,"$25,000 to $34,999",2016,Percent,0.064,110
Central Harlem,"$35,000 to $49,999",2016,Percent,0.113,110
Central Harlem,"$75,000 to $99,999",2016,Percent,0.113,110
Central Harlem,"$15,000 to $24,999",2016,Percent,0.124,110
Central Harlem,"$50,000 to $74,999",2016,Percent,0.159,110
Central Harlem,"$100,000 to $199,999",2016,Percent,0.184,110
Central Harlem,"Under $15,000",2016,Percent,0.188,110
Central Harlem,"$200,000 or more",2016,Number,1440,110
Central Harlem,"$25,000 to $34,999",2016,Number,1658,110
Central Harlem,"$35,000 to $49,999",2016,Number,2943,110
Central Harlem,"$75,000 to $99,999",2016,Number,2943,110
Central Harlem,"$15,000 to $24,999",2016,Number,3222,110
Central Harlem,"$50,000 to $74,999",2016,Number,4132,110
Central Harlem,"$100,000 to $199,999",2016,Number,4787,110
Central Harlem,"Under $15,000",2016,Number,4900,110
East Harlem,"$200,000 or more",2016,Percent,0.061,111
East Harlem,"$75,000 to $99,999",2016,Percent,0.085,111
East Harlem,"$35,000 to $49,999",2016,Percent,0.111,111
East Harlem,"$100,000 to $199,999",2016,Percent,0.114,111
East Harlem,"$25,000 to $34,999",2016,Percent,0.142,111
East Harlem,"$50,000 to $74,999",2016,Percent,0.146,111
East Harlem,"$15,000 to $24,999",2016,Percent,0.161,111
East Harlem,"Under $15,000",2016,Percent,0.18,111
East Harlem,"$200,000 or more",2016,Number,1838,111
East Harlem,"$75,000 to $99,999",2016,Number,2576,111
East Harlem,"$35,000 to $49,999",2016,Number,3366,111
East Harlem,"$100,000 to $199,999",2016,Number,3435,111
East Harlem,"$25,000 to $34,999",2016,Number,4307,111
East Harlem,"$50,000 to $74,999",2016,Number,4408,111
East Harlem,"$15,000 to $24,999",2016,Number,4870,111
East Harlem,"Under $15,000",2016,Number,5442,111
Washington Heights,"$200,000 or more",2016,Percent,0.042,112
Washington Heights,"$35,000 to $49,999",2016,Percent,0.088,112
Washington Heights,"Under $15,000",2016,Percent,0.123,112
Washington Heights,"$75,000 to $99,999",2016,Percent,0.124,112
Washington Heights,"$25,000 to $34,999",2016,Percent,0.128,112
Washington Heights,"$15,000 to $24,999",2016,Percent,0.129,112
Washington Heights,"$50,000 to $74,999",2016,Percent,0.17,112
Washington Heights,"$100,000 to $199,999",2016,Percent,0.197,112
Washington Heights,"$200,000 or more",2016,Number,1853,112
Washington Heights,"$35,000 to $49,999",2016,Number,3931,112
Washington Heights,"Under $15,000",2016,Number,5494,112
Washington Heights,"$75,000 to $99,999",2016,Number,5521,112
Washington Heights,"$25,000 to $34,999",2016,Number,5682,112
Washington Heights,"$15,000 to $24,999",2016,Number,5730,112
Washington Heights,"$50,000 to $74,999",2016,Number,7581,112
Washington Heights,"$100,000 to $199,999",2016,Number,8754,112
Mott Haven,"$200,000 or more",2016,Percent,0.017,201
Mott Haven,"$100,000 to $199,999",2016,Percent,0.073,201
Mott Haven,"$75,000 to $99,999",2016,Percent,0.075,201
Mott Haven,"$25,000 to $34,999",2016,Percent,0.129,201
Mott Haven,"$50,000 to $74,999",2016,Percent,0.132,201
Mott Haven,"$15,000 to $24,999",2016,Percent,0.137,201
Mott Haven,"$35,000 to $49,999",2016,Percent,0.173,201
Mott Haven,"Under $15,000",2016,Percent,0.264,201
Mott Haven,"$200,000 or more",2016,Number,390.831,201
