"Name","Household Income"
"Description","Households by income level."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Summary Table B19001 (2005-2018); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes",""

Location,Income Level,TimeFrame,DataFormat,Data,Fips
Park Slope,"$100,000 to $199,999",2005,Percent,0.25716,306
Sunset Park,"$100,000 to $199,999",2005,Percent,0.11794,307
Crown Heights North,"$100,000 to $199,999",2005,Percent,0.0704,308
Crown Heights South,"$100,000 to $199,999",2005,Percent,0.08303,309
Bay Ridge,"$100,000 to $199,999",2005,Percent,0.16092,310
Bensonhurst,"$100,000 to $199,999",2005,Percent,0.10004,311
Borough Park,"$100,000 to $199,999",2005,Percent,0.09471,312
Coney Island,"$100,000 to $199,999",2005,Percent,0.08162,313
Flatbush/Midwood,"$100,000 to $199,999",2005,Percent,0.08034,314
Sheepshead Bay,"$100,000 to $199,999",2005,Percent,0.13854,315
Brownsville,"$100,000 to $199,999",2005,Percent,0.03275,316
East Flatbush,"$100,000 to $199,999",2005,Percent,0.098,317
Canarsie,"$100,000 to $199,999",2005,Percent,0.17195,318
Astoria,"$100,000 to $199,999",2005,Percent,0.11896,401
Sunnyside/Woodside,"$100,000 to $199,999",2005,Percent,0.11834,402
Jackson Heights,"$100,000 to $199,999",2005,Percent,0.11403,403
Elmhurst/Corona,"$100,000 to $199,999",2005,Percent,0.06956,404
Ridgewood/Glendale,"$100,000 to $199,999",2005,Percent,0.14404,405
Rego Park/Forest Hills,"$100,000 to $199,999",2005,Percent,0.19355,406
Flushing,"$100,000 to $199,999",2005,Percent,0.17648,407
Fresh Meadows/Briarwood,"$100,000 to $199,999",2005,Percent,0.15153,408
Woodhaven,"$100,000 to $199,999",2005,Percent,0.16489,409
Howard Beach,"$100,000 to $199,999",2005,Percent,0.16808,410
Bayside,"$100,000 to $199,999",2005,Percent,0.23511,411
Jamaica/St. Albans,"$100,000 to $199,999",2005,Percent,0.11537,412
Queens Village,"$100,000 to $199,999",2005,Percent,0.25843,413
The Rockaways,"$100,000 to $199,999",2005,Percent,0.14257,414
St. George,"$100,000 to $199,999",2005,Percent,0.17307,501
South Beach,"$100,000 to $199,999",2005,Percent,0.17133,502
Tottenville,"$100,000 to $199,999",2005,Percent,0.29844,503
Bronx,"$100,000 to $199,999",2005,Percent,0.07006,36005
Brooklyn,"$100,000 to $199,999",2005,Percent,0.10936,36047
Manhattan,"$100,000 to $199,999",2005,Percent,0.17011,36061
Queens,"$100,000 to $199,999",2005,Percent,0.15459,36081
Staten Island,"$100,000 to $199,999",2005,Percent,0.21316,36085
New York City,"$100,000 to $199,999",2005,Percent,0.13521,3651000
Battery Park/Tribeca,"$15,000 to $24,999",2005,Number,1385.18444,101
Greenwich Village,"$15,000 to $24,999",2005,Number,2044.81556,102
Lower East Side,"$15,000 to $24,999",2005,Number,8188,103
Chelsea/Clinton,"$15,000 to $24,999",2005,Number,3704.12547,104
Midtown Business District,"$15,000 to $24,999",2005,Number,1853.87453,105
Murray Hill/Stuyvesant,"$15,000 to $24,999",2005,Number,4391,106
Upper West Side,"$15,000 to $24,999",2005,Number,5781,107
Upper East Side,"$15,000 to $24,999",2005,Number,6612,108
Manhattanville,"$15,000 to $24,999",2005,Number,7784,109
Central Harlem,"$15,000 to $24,999",2005,Number,5227,110
East Harlem,"$15,000 to $24,999",2005,Number,7167,111
Washington Heights,"$15,000 to $24,999",2005,Number,12085,112
Mott Haven,"$15,000 to $24,999",2005,Number,4236.11957,201
Hunts Point,"$15,000 to $24,999",2005,Number,2418.88043,202
Morrisania,"$15,000 to $24,999",2005,Number,4141.9683,203
Concourse/Highbridge,"$15,000 to $24,999",2005,Number,8142,204
University Heights,"$15,000 to $24,999",2005,Number,7206,205
East Tremont,"$15,000 to $24,999",2005,Number,4324.0317,206
Bedford Park,"$15,000 to $24,999",2005,Number,6751,207
Riverdale,"$15,000 to $24,999",2005,Number,4191,208
Unionport/Soundview,"$15,000 to $24,999",2005,Number,9815,209
Throgs Neck,"$15,000 to $24,999",2005,Number,4579,210
Pelham Parkway,"$15,000 to $24,999",2005,Number,4974,211
Williamsbridge,"$15,000 to $24,999",2005,Number,5558,212
Williamsburg/Greenpoint,"$15,000 to $24,999",2005,Number,6931,301
Fort Greene/Brooklyn Hts,"$15,000 to $24,999",2005,Number,4864,302
Bedford Stuyvesant,"$15,000 to $24,999",2005,Number,8081,303
Bushwick,"$15,000 to $24,999",2005,Number,6012,304
East New York,"$15,000 to $24,999",2005,Number,5638,305
Park Slope,"$15,000 to $24,999",2005,Number,3695,306
Sunset Park,"$15,000 to $24,999",2005,Number,5920,307
Crown Heights North,"$15,000 to $24,999",2005,Number,6637,308
Crown Heights South,"$15,000 to $24,999",2005,Number,4347,309
Bay Ridge,"$15,000 to $24,999",2005,Number,5421,310
Bensonhurst,"$15,000 to $24,999",2005,Number,7432,311
Borough Park,"$15,000 to $24,999",2005,Number,7159,312
Coney Island,"$15,000 to $24,999",2005,Number,5786,313
Flatbush/Midwood,"$15,000 to $24,999",2005,Number,6860,314
Sheepshead Bay,"$15,000 to $24,999",2005,Number,5606,315
Brownsville,"$15,000 to $24,999",2005,Number,5774,316
East Flatbush,"$15,000 to $24,999",2005,Number,5313,317
Canarsie,"$15,000 to $24,999",2005,Number,7924,318
Astoria,"$15,000 to $24,999",2005,Number,10728,401
Sunnyside/Woodside,"$15,000 to $24,999",2005,Number,8211,402
Jackson Heights,"$15,000 to $24,999",2005,Number,8719,403
Elmhurst/Corona,"$15,000 to $24,999",2005,Number,6047,404
Ridgewood/Glendale,"$15,000 to $24,999",2005,Number,6589,405
Rego Park/Forest Hills,"$15,000 to $24,999",2005,Number,5692,406
Flushing,"$15,000 to $24,999",2005,Number,10076,407
Fresh Meadows/Briarwood,"$15,000 to $24,999",2005,Number,6990,408
Woodhaven,"$15,000 to $24,999",2005,Number,4515,409
Howard Beach,"$15,000 to $24,999",2005,Number,4367,410
Bayside,"$15,000 to $24,999",2005,Number,3356,411
Jamaica/St. Albans,"$15,000 to $24,999",2005,Number,7934,412
Queens Village,"$15,000 to $24,999",2005,Number,3157,413
The Rockaways,"$15,000 to $24,999",2005,Number,4204,414
St. George,"$15,000 to $24,999",2005,Number,6327,501
South Beach,"$15,000 to $24,999",2005,Number,6035,502
Tottenville,"$15,000 to $24,999",2005,Number,3423,503
Bronx,"$15,000 to $24,999",2005,Number,66337,36005
Brooklyn,"$15,000 to $24,999",2005,Number,109400,36047
Manhattan,"$15,000 to $24,999",2005,Number,66223,36061
Queens,"$15,000 to $24,999",2005,Number,90585,36081
Staten Island,"$15,000 to $24,999",2005,Number,15785,36085
New York City,"$15,000 to $24,999",2005,Number,348330,3651000
Battery Park/Tribeca,"$15,000 to $24,999",2005,Percent,0.04998,101
Greenwich Village,"$15,000 to $24,999",2005,Percent,0.04998,102
Lower East Side,"$15,000 to $24,999",2005,Percent,0.12039,103
Chelsea/Clinton,"$15,000 to $24,999",2005,Percent,0.07263,104
Midtown Business District,"$15,000 to $24,999",2005,Percent,0.07263,105
Murray Hill/Stuyvesant,"$15,000 to $24,999",2005,Percent,0.05161,106
Upper West Side,"$15,000 to $24,999",2005,Percent,0.05558,107
Upper East Side,"$15,000 to $24,999",2005,Percent,0.05829,108
Manhattanville,"$15,000 to $24,999",2005,Percent,0.16624,109
