Location,Age Group,TimeFrame,DataFormat,Data,Fips,zipcode
Ridgewood - Forest Hills,0 to 4 years,2005,Rate,180.9,uhf405,"11374, 11375, 11379, 11385"
Ridgewood - Forest Hills,5 to 17 Years,2005,Number,298.0,uhf405,"11374, 11375, 11379, 11385"
Ridgewood - Forest Hills,5 to 17 Years,2005,Rate,93.3,uhf405,"11374, 11375, 11379, 11385"
Ridgewood - Forest Hills,0 to 17 Years,2005,Number,558.0,uhf405,"11374, 11375, 11379, 11385"
Rockaway,0 to 4 years,2005,Rate,512.0,uhf410,"11691, 11692, 11693, 11694, 11697"
Rockaway,0 to 4 years,2005,Number,422.0,uhf410,"11691, 11692, 11693, 11694, 11697"
Rockaway,5 to 17 Years,2005,Number,445.0,uhf410,"11691, 11692, 11693, 11694, 11697"
Rockaway,5 to 17 Years,2005,Rate,210.8,uhf410,"11691, 11692, 11693, 11694, 11697"
Rockaway,0 to 17 Years,2005,Number,867.0,uhf410,"11691, 11692, 11693, 11694, 11697"
South Beach - Tottenville,0 to 4 years,2005,Rate,77.5,uhf504,"10306, 10307, 10308, 10309, 10312, 10314"
South Beach - Tottenville,0 to 4 years,2005,Number,83.0,uhf504,"10306, 10307, 10308, 10309, 10312, 10314"
South Beach - Tottenville,5 to 17 Years,2005,Number,164.0,uhf504,"10306, 10307, 10308, 10309, 10312, 10314"
South Beach - Tottenville,5 to 17 Years,2005,Rate,50.2,uhf504,"10306, 10307, 10308, 10309, 10312, 10314"
South Beach - Tottenville,0 to 17 Years,2005,Number,247.0,uhf504,"10306, 10307, 10308, 10309, 10312, 10314"
Southeast Queens,0 to 4 years,2005,Number,341.0,uhf409,"11001, 11004, 11005, 11040, 11411, 11413, 11422, 11426, 11427, 11428, 11429"
Southeast Queens,0 to 4 years,2005,Rate,310.2,uhf409,"11001, 11004, 11005, 11040, 11411, 11413, 11422, 11426, 11427, 11428, 11429"
Southeast Queens,5 to 17 Years,2005,Number,391.0,uhf409,"11001, 11004, 11005, 11040, 11411, 11413, 11422, 11426, 11427, 11428, 11429"
Southeast Queens,5 to 17 Years,2005,Rate,116.9,uhf409,"11001, 11004, 11005, 11040, 11411, 11413, 11422, 11426, 11427, 11428, 11429"
Southeast Queens,0 to 17 Years,2005,Number,732.0,uhf409,"11001, 11004, 11005, 11040, 11411, 11413, 11422, 11426, 11427, 11428, 11429"
Southwest Queens,0 to 4 years,2005,Number,452.0,uhf407,"11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421"
Southwest Queens,0 to 4 years,2005,Rate,259.6,uhf407,"11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421"
Southwest Queens,5 to 17 Years,2005,Number,502.0,uhf407,"11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421"
Southwest Queens,5 to 17 Years,2005,Rate,110.8,uhf407,"11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421"
Southwest Queens,0 to 17 Years,2005,Number,954.0,uhf407,"11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421"
Stapleton - St. George,0 to 4 years,2005,Rate,292.1,uhf502,"10301, 10302, 10303, 10304, 10305, 10310"
Stapleton - St. George,0 to 4 years,2005,Number,223.0,uhf502,"10301, 10302, 10303, 10304, 10305, 10310"
Stapleton - St. George,5 to 17 Years,2005,Number,306.0,uhf502,"10301, 10302, 10303, 10304, 10305, 10310"
Stapleton - St. George,5 to 17 Years,2005,Rate,145.1,uhf502,"10301, 10302, 10303, 10304, 10305, 10310"
Stapleton - St. George,0 to 17 Years,2005,Number,529.0,uhf502,"10301, 10302, 10303, 10304, 10305, 10310"
Staten Island,0 to 4 years,2005,Rate,192.9,36085,N/A
Staten Island,0 to 4 years,2005,Number,546.0,36085,N/A
Staten Island,5 to 17 Years,2005,Number,849.0,36085,N/A
Staten Island,5 to 17 Years,2005,Rate,103.1,36085,N/A
Staten Island,0 to 17 Years,2005,Number,1395.0,36085,N/A
Sunset Park,0 to 4 years,2005,Rate,123.4,uhf205,"11220, 11232"
Sunset Park,0 to 4 years,2005,Number,118.0,uhf205,"11220, 11232"
Sunset Park,5 to 17 Years,2005,Number,148.0,uhf205,"11220, 11232"
Sunset Park,5 to 17 Years,2005,Rate,71.5,uhf205,"11220, 11232"
Sunset Park,0 to 17 Years,2005,Number,266.0,uhf205,"11220, 11232"
Union Square - Lower East Side,0 to 4 years,2005,Number,140.0,uhf309,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10038, 10048, 10280, 10282"
Union Square - Lower East Side,0 to 4 years,2005,Rate,165.7,uhf309,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10038, 10048, 10280, 10282"
Union Square - Lower East Side,5 to 17 Years,2005,Number,384.0,uhf309,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10038, 10048, 10280, 10282"
Union Square - Lower East Side,5 to 17 Years,2005,Rate,201.6,uhf309,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10038, 10048, 10280, 10282"
Union Square - Lower East Side,0 to 17 Years,2005,Number,524.0,uhf309,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10038, 10048, 10280, 10282"
Upper East Side,0 to 4 years,2005,Number,118.0,uhf305,"10010, 10016, 10017, 10021, 10022, 10028, 10044, 10065, 10075, 10128, 10162, 10165, 10170, 10171"
Upper East Side,0 to 4 years,2005,Rate,99.1,uhf305,"10010, 10016, 10017, 10021, 10022, 10028, 10044, 10065, 10075, 10128, 10162, 10165, 10170, 10171"
Upper East Side,5 to 17 Years,2005,Number,120.0,uhf305,"10010, 10016, 10017, 10021, 10022, 10028, 10044, 10065, 10075, 10128, 10162, 10165, 10170, 10171"
Upper East Side,5 to 17 Years,2005,Rate,68.5,uhf305,"10010, 10016, 10017, 10021, 10022, 10028, 10044, 10065, 10075, 10128, 10162, 10165, 10170, 10171"
Upper East Side,0 to 17 Years,2005,Number,238.0,uhf305,"10010, 10016, 10017, 10021, 10022, 10028, 10044, 10065, 10075, 10128, 10162, 10165, 10170, 10171"
Upper West Side,0 to 4 years,2005,Rate,233.7,uhf304,"10023, 10024, 10025, 10069"
Upper West Side,0 to 4 years,2005,Number,279.0,uhf304,"10023, 10024, 10025, 10069"
Upper West Side,5 to 17 Years,2005,Number,505.0,uhf304,"10023, 10024, 10025, 10069"
Upper West Side,5 to 17 Years,2005,Rate,260.3,uhf304,"10023, 10024, 10025, 10069"
Upper West Side,0 to 17 Years,2005,Number,784.0,uhf304,"10023, 10024, 10025, 10069"
Washington Heights - Inwood,0 to 4 years,2005,Number,865.0,uhf301,"10031, 10032, 10033, 10034, 10040"
Washington Heights - Inwood,0 to 4 years,2005,Rate,518.7,uhf301,"10031, 10032, 10033, 10034, 10040"
Washington Heights - Inwood,5 to 17 Years,2005,Number,1119.0,uhf301,"10031, 10032, 10033, 10034, 10040"
Washington Heights - Inwood,5 to 17 Years,2005,Rate,257.4,uhf301,"10031, 10032, 10033, 10034, 10040"
Washington Heights - Inwood,0 to 17 Years,2005,Number,1984.0,uhf301,"10031, 10032, 10033, 10034, 10040"
West Queens,0 to 4 years,2005,Rate,238.4,uhf402,"11368, 11369, 11370, 11372, 11373, 11377, 11378"
West Queens,0 to 4 years,2005,Number,754.0,uhf402,"11368, 11369, 11370, 11372, 11373, 11377, 11378"
West Queens,5 to 17 Years,2005,Number,790.0,uhf402,"11368, 11369, 11370, 11372, 11373, 11377, 11378"
West Queens,5 to 17 Years,2005,Rate,115.1,uhf402,"11368, 11369, 11370, 11372, 11373, 11377, 11378"
West Queens,0 to 17 Years,2005,Number,1544.0,uhf402,"11368, 11369, 11370, 11372, 11373, 11377, 11378"
Williamsburg - Bushwick,0 to 4 years,2005,Rate,712.6,uhf211,"11206, 11221, 11237"
Williamsburg - Bushwick,0 to 4 years,2005,Number,1148.0,uhf211,"11206, 11221, 11237"
Williamsburg - Bushwick,5 to 17 Years,2005,Number,1444.0,uhf211,"11206, 11221, 11237"
Williamsburg - Bushwick,5 to 17 Years,2005,Rate,345.0,uhf211,"11206, 11221, 11237"
Williamsburg - Bushwick,0 to 17 Years,2005,Number,2592.0,uhf211,"11206, 11221, 11237"
Willowbrook,0 to 4 years,2005,Number,52.0,uhf503,"10306, 10307, 10308, 10309, 10312, 10314"
Willowbrook,0 to 4 years,2005,Rate,105.2,uhf503,"10306, 10307, 10308, 10309, 10312, 10314"
Willowbrook,5 to 17 Years,2005,Number,87.0,uhf503,"10306, 10307, 10308, 10309, 10312, 10314"
Willowbrook,5 to 17 Years,2005,Rate,60.9,uhf503,"10306, 10307, 10308, 10309, 10312, 10314"
Willowbrook,0 to 17 Years,2005,Number,139.0,uhf503,"10306, 10307, 10308, 10309, 10312, 10314"
Bayside - Little Neck,0 to 4 years,2006,Rate,91.6,uhf404,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Bayside - Little Neck,0 to 4 years,2006,Number,38.0,uhf404,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Bayside - Little Neck,5 to 17 Years,2006,Number,52.0,uhf404,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Bayside - Little Neck,5 to 17 Years,2006,Rate,42.7,uhf404,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Bayside - Little Neck,0 to 17 Years,2006,Number,90.0,uhf404,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
